canonical_skill,Entry,Internship,Junior,Lead,Mid,Mid-Senior,Senior,skill,level,transition_growth,personal_gap,transition_priority
R,9.364548494983277,40.0,14.285714285714285,17.24137931034483,26.6304347826087,18.867924528301888,25.327510917030565,R,0.0,15.962962422047289,3.0,47.888887266141865
Python,24.08026755852843,80.0,32.77310924369748,24.13793103448276,44.02173913043478,43.39622641509434,42.35807860262008,Python,1.0,18.277811044091653,2.0,36.555622088183306
Power BI,24.08026755852843,40.0,36.97478991596639,13.79310344827586,36.41304347826087,47.16981132075472,34.93449781659388,Power BI,0.0,10.854230258065453,3.0,32.562690774196355
Looker,5.016722408026756,,8.403361344537815,6.896551724137931,6.7934782608695645,15.09433962264151,15.283842794759824,,0.0,10.267120386733069,3.0,30.801361160199207
Tableau,21.73913043478261,40.0,33.61344537815126,27.58620689655172,41.03260869565217,43.39622641509434,37.117903930131,Tableau,1.0,15.37877349534839,2.0,30.75754699069678
ETL,4.013377926421405,,3.361344537815126,3.4482758620689653,10.869565217391305,11.320754716981131,13.100436681222709,ETL,0.0,9.087058754801305,3.0,27.261176264403915
Snowflake,3.678929765886288,,1.680672268907563,6.896551724137931,6.7934782608695645,13.20754716981132,12.22707423580786,Snowflake,0.0,8.548144469921573,3.0,25.644433409764716
Data Modeling,7.6923076923076925,,8.403361344537815,10.344827586206897,14.402173913043478,22.641509433962263,16.157205240174672,Data Modeling,0.0,8.464897547866979,3.0,25.394692643600937
AWS,1.3377926421404682,,4.201680672268908,,6.7934782608695645,9.433962264150944,8.296943231441048,AWS,0.0,6.95915058930058,3.0,20.87745176790174
Data Warehousing,1.3377926421404682,,4.201680672268908,3.4482758620689653,5.434782608695652,1.8867924528301887,6.986899563318777,,0.0,5.6491069211783085,3.0,16.947320763534925
Machine Learning,3.0100334448160537,40.0,5.88235294117647,6.896551724137931,5.978260869565218,11.320754716981131,8.296943231441048,Machine Learning,0.0,5.286909786624994,3.0,15.860729359874982
Statistics,6.688963210702341,,11.76470588235294,27.58620689655172,20.108695652173918,16.9811320754717,13.537117903930133,Statistics,1.0,6.848154693227792,2.0,13.696309386455583
Data Mining,2.0066889632107023,,6.722689075630252,3.4482758620689653,8.152173913043478,1.8867924528301887,6.550218340611353,,0.0,4.543529377400651,3.0,13.630588132201952
Data Visualization,15.719063545150505,20.0,12.605042016806722,13.79310344827586,20.380434782608692,28.30188679245283,20.52401746724891,Data Visualization,1.0,4.804953922098406,2.0,9.609907844196812
Data Quality,3.678929765886288,40.0,3.361344537815126,,1.9021739130434785,16.9811320754717,6.11353711790393,,0.0,2.4346073520176423,3.0,7.303822056052927
Data Analysis,14.381270903010032,60.0,10.92436974789916,10.344827586206897,13.31521739130435,32.075471698113205,15.72052401746725,Data Analysis,1.0,1.3392531144572182,2.0,2.6785062289144363
Reporting,6.020066889632108,60.0,4.201680672268908,10.344827586206897,5.706521739130435,22.641509433962263,6.550218340611353,,0.0,0.5301514509792451,3.0,1.5904543529377353
Excel,63.54515050167224,80.0,53.78151260504202,27.58620689655172,45.10869565217392,35.84905660377358,31.00436681222708,Excel,3.0,-32.54078368944516,0.0,0.0
SQL,52.17391304347826,60.0,63.86554621848739,51.72413793103448,78.80434782608695,75.47169811320755,81.6593886462882,SQL,3.0,29.48547560280995,0.0,0.0
