canonical_skill,Business Analyst,Data Analyst,difference,percentage_difference,evidence_strength
AWS,1.0,110.0,3.882296963749368,3.882296963749368,Weak
Azure,2.0,89.0,1.3367234662622298,1.3367234662622298,Weak
Data Analysis,7.0,188.0,-1.3813304784845517,-1.3813304784845517,Weak
Data Mining,2.0,54.0,-0.3806465042971423,-0.3806465042971423,Weak
Data Modeling,6.0,145.0,-1.9760906414488364,-1.9760906414488364,Weak
Data Quality,4.0,53.0,-3.4600172480447258,-3.4600172480447258,Weak
Data Visualization,7.0,232.0,0.7776489130758026,0.7776489130758026,Weak
Data Warehousing,3.0,53.0,-1.944865732893211,-1.944865732893211,Weak
ETL,2.0,105.0,2.121806881375086,2.121806881375086,Weak
Excel,29.0,773.0,-6.01005144675409,-6.01005144675409,Strong
Looker,2.0,138.0,3.741041425045351,3.741041425045351,Weak
Machine Learning,1.0,68.0,1.8214529990781219,1.8214529990781219,Weak
Oracle,4.0,82.0,-2.0370535581526754,-2.0370535581526754,Weak
Power BI,12.0,554.0,9.001695066464446,9.001695066464446,Moderate
PowerPoint,8.0,136.0,-5.448003092752846,-5.448003092752846,Weak
Python,18.0,729.0,8.49763582835222,8.49763582835222,Moderate
R,11.0,380.0,1.9790644422636596,1.9790644422636596,Weak
Reporting,4.0,90.0,-1.6445118505962473,-1.6445118505962473,Weak
SAP,5.0,73.0,-3.9938144943051714,-3.9938144943051714,Weak
SAS,4.0,153.0,1.446754096410623,1.446754096410623,Weak
SPSS,2.0,61.0,-0.03717251018526779,-0.03717251018526779,Weak
SQL,40.0,1222.0,-0.6453147768162566,-0.6453147768162566,Weak
SQL Server,4.0,70.0,-2.6258661194873167,-2.6258661194873167,Weak
Snowflake,0.0,126.0,6.182531894013739,6.182531894013739,Weak
Statistics,2.0,166.0,5.114937401492848,5.114937401492848,Weak
Tableau,18.0,651.0,4.670354179677052,4.670354179677052,Moderate
VBA,5.0,61.0,-4.582627055639813,-4.582627055639813,Weak
