name,job_count,demand_percentage
SQL,1298,60.25998142989787
Python,760,35.28319405756732
Excel,692,32.12627669452182
Tableau,685,31.801299907149488
Power BI,568,26.369545032497676
R,395,18.33797585886722
Data Visualization,248,11.513463324048283
Data Analysis,207,9.610027855153204
SAS,169,7.8458681522748375
Data Modeling,166,7.706592386258125
Looker,145,6.731662024141133
Snowflake,127,5.896007428040854
Microsoft Excel,121,5.617455896007428
Statistical Analysis,114,5.2924791086350975
AWS,111,5.153203342618385
PowerPoint,110,5.10677808727948
ETL,110,5.10677808727948
Reporting,102,4.735376044568245
Azure,91,4.224698235840297
Oracle,87,4.03899721448468
SAP,78,3.6211699164345403
SQL Server,75,3.4818941504178276
Machine Learning,74,3.4354688950789227
Data Mining,67,3.1104921077065923
SPSS,67,3.1104921077065923
VBA,66,3.064066852367688
Data Quality,62,2.8783658310120708
Statistics,62,2.8783658310120708
Data Warehousing,59,2.7390900649953576
JavaScript,55,2.55338904363974
Google Analytics,53,2.460538532961931
Spark,53,2.460538532961931
Alteryx,50,2.321262766945218
Databricks,49,2.274837511606314
Word,49,2.274837511606314
Dashboarding,48,2.2284122562674096
Data Pipelines,47,2.181987000928505
Data Validation,46,2.1355617455896008
Predictive Modeling,46,2.1355617455896008
Data Cleaning,46,2.1355617455896008
MySQL,45,2.0891364902506964
Data Governance,45,2.0891364902506964
BigQuery,45,2.0891364902506964
Jira,43,1.9962859795728878
Data Transformation,43,1.9962859795728878
Relational Databases,42,1.9498607242339834
Pandas,41,1.9034354688950788
Hadoop,41,1.9034354688950788
DAX,41,1.9034354688950788
Business Intelligence,40,1.8570102135561743
Google Sheets,40,1.8570102135561743
Qlik,37,1.7177344475394614
A/B Testing,36,1.6713091922005572
GCP,35,1.6248839368616528
Java,35,1.6248839368616528
Microsoft PowerPoint,34,1.5784586815227482
Database Design,34,1.5784586815227482
Go,34,1.5784586815227482
Forecasting,33,1.532033426183844
Microsoft Office,33,1.532033426183844
dbt,32,1.4856081708449396
Data Management,32,1.4856081708449396
Microsoft Word,32,1.4856081708449396
SharePoint,32,1.4856081708449396
Dashboards,32,1.4856081708449396
Salesforce,31,1.4391829155060354
SSIS,31,1.4391829155060354
NoSQL,30,1.392757660167131
Git,30,1.392757660167131
Agile,29,1.3463324048282266
Statistical Modeling,28,1.2999071494893222
SSRS,27,1.2534818941504178
PySpark,27,1.2534818941504178
Data Manipulation,27,1.2534818941504178
PowerBI,27,1.2534818941504178
Data Cleansing,26,1.2070566388115136
Airflow,24,1.1142061281337048
Redshift,24,1.1142061281337048
