experience_level,canonical_skill,category,job_count,total_jobs,demand_percentage
Associate,SQL,Data & Analytics,22,28,78.57142857142857
Associate,Excel,BI & Reporting,16,28,57.14285714285714
Associate,Data Visualization,Data & Analytics,15,28,53.57142857142857
Associate,Tableau,BI & Reporting,15,28,53.57142857142857
Associate,Power BI,BI & Reporting,13,28,46.42857142857143
Associate,Python,Programming & Data,12,28,42.857142857142854
Associate,Data Analysis,Data & Analytics,10,28,35.714285714285715
Associate,Data Modeling,Data & Analytics,10,28,35.714285714285715
Associate,Reporting,BI & Reporting,7,28,25.0
Associate,Data Quality,Data & Analytics,6,28,21.428571428571427
Associate,ETL,Data Engineering,6,28,21.428571428571427
Associate,Snowflake,Data Platforms,6,28,21.428571428571427
Associate,Looker,BI & Reporting,5,28,17.857142857142858
Associate,R,Programming & Data,4,28,14.285714285714285
Associate,Data Warehousing,Data Engineering,3,28,10.714285714285714
Associate,Statistics,Data & Analytics,2,28,7.142857142857142
Associate,AWS,Cloud,1,28,3.571428571428571
Associate,Machine Learning,AI & Machine Learning,1,28,3.571428571428571
Associate,PowerPoint,Business & Professional,1,28,3.571428571428571
Associate,SAP,Enterprise Systems,1,28,3.571428571428571
Associate,SQL Server,Databases,1,28,3.571428571428571
Associate,VBA,Programming & Data,1,28,3.571428571428571
Entry level,Excel,BI & Reporting,174,271,64.20664206642066
Entry level,SQL,Data & Analytics,134,271,49.44649446494465
Entry level,Python,Programming & Data,60,271,22.14022140221402
Entry level,Power BI,BI & Reporting,59,271,21.771217712177123
Entry level,Tableau,BI & Reporting,50,271,18.45018450184502
Entry level,Data Analysis,Data & Analytics,33,271,12.177121771217712
Entry level,Data Visualization,Data & Analytics,32,271,11.808118081180812
Entry level,PowerPoint,Business & Professional,32,271,11.808118081180812
Entry level,R,Programming & Data,24,271,8.856088560885608
Entry level,Statistics,Data & Analytics,18,271,6.642066420664207
Entry level,Data Modeling,Data & Analytics,13,271,4.797047970479705
Entry level,Reporting,BI & Reporting,11,271,4.059040590405904
Entry level,Looker,BI & Reporting,10,271,3.6900369003690034
Entry level,Machine Learning,AI & Machine Learning,8,271,2.952029520295203
Entry level,SAS,Data & Analytics,8,271,2.952029520295203
Entry level,VBA,Programming & Data,8,271,2.952029520295203
Entry level,Data Mining,Data & Analytics,6,271,2.214022140221402
