canonical_skill,Entry,Internship,Junior,Lead,Mid,Mid-Senior,Senior,growth_score,progression_type
SQL,52.17391304347826,60.0,63.86554621848739,51.72413793103448,78.80434782608695,75.47169811320755,81.6593886462882,29.48547560280995,Strong Growth
Python,24.08026755852843,80.0,32.77310924369748,24.13793103448276,44.02173913043478,43.39622641509434,42.35807860262008,18.277811044091653,Strong Growth
R,9.364548494983277,40.0,14.285714285714285,17.24137931034483,26.6304347826087,18.867924528301888,25.327510917030565,15.962962422047289,Strong Growth
Tableau,21.73913043478261,40.0,33.61344537815126,27.58620689655172,41.03260869565217,43.39622641509434,37.117903930131,15.37877349534839,Strong Growth
Power BI,24.08026755852843,40.0,36.97478991596639,13.79310344827586,36.41304347826087,47.16981132075472,34.93449781659388,10.854230258065453,Strong Growth
Looker,5.016722408026756,,8.403361344537815,6.896551724137931,6.7934782608695645,15.09433962264151,15.283842794759824,10.267120386733069,Strong Growth
ETL,4.013377926421405,,3.361344537815126,3.4482758620689653,10.869565217391305,11.320754716981131,13.100436681222709,9.087058754801305,Moderate Growth
Snowflake,3.678929765886288,,1.680672268907563,6.896551724137931,6.7934782608695645,13.20754716981132,12.22707423580786,8.548144469921573,Moderate Growth
Data Modeling,7.6923076923076925,,8.403361344537815,10.344827586206897,14.402173913043478,22.641509433962263,16.157205240174672,8.464897547866979,Moderate Growth
AWS,1.3377926421404682,,4.201680672268908,,6.7934782608695645,9.433962264150944,8.296943231441048,6.95915058930058,Moderate Growth
Statistics,6.688963210702341,,11.76470588235294,27.58620689655172,20.108695652173918,16.9811320754717,13.537117903930133,6.848154693227792,Moderate Growth
Data Warehousing,1.3377926421404682,,4.201680672268908,3.4482758620689653,5.434782608695652,1.8867924528301887,6.986899563318777,5.6491069211783085,Moderate Growth
Machine Learning,3.0100334448160537,40.0,5.88235294117647,6.896551724137931,5.978260869565218,11.320754716981131,8.296943231441048,5.286909786624994,Moderate Growth
Data Visualization,15.719063545150505,20.0,12.605042016806722,13.79310344827586,20.380434782608692,28.30188679245283,20.52401746724891,4.804953922098406,Moderate Growth
Data Mining,2.0066889632107023,,6.722689075630252,3.4482758620689653,8.152173913043478,1.8867924528301887,6.550218340611353,4.543529377400651,Moderate Growth
Data Quality,3.678929765886288,40.0,3.361344537815126,,1.9021739130434785,16.9811320754717,6.11353711790393,2.4346073520176423,Stable
Data Analysis,14.381270903010032,60.0,10.92436974789916,10.344827586206897,13.31521739130435,32.075471698113205,15.72052401746725,1.3392531144572182,Stable
Reporting,6.020066889632108,60.0,4.201680672268908,10.344827586206897,5.706521739130435,22.641509433962263,6.550218340611353,0.5301514509792451,Stable
Excel,63.54515050167224,80.0,53.78151260504202,27.58620689655172,45.10869565217392,35.84905660377358,31.00436681222708,-32.54078368944516,Strong Decline
