canonical_skill,Entry,Internship,Junior,Lead,Mid,Mid-Senior,Senior,growth_score,progression_type,job_count,demand_percentage,skill_type,entry_demand,entry_score,market_score,growth_score_normalized,priority_score,priority_rank
SQL,52.17391304347826,60.0,63.86554621848739,51.72413793103448,78.80434782608695,75.47169811320755,81.6593886462882,29.48547560280995,Strong Growth,1298,60.25998142989787,Language,52.17391304347826,0.8172043010752688,1.0,1.0,92.68817204301077,1
Excel,63.54515050167224,80.0,53.78151260504202,27.58620689655172,45.10869565217392,35.84905660377358,31.00436681222708,-32.54078368944516,Strong Decline,825,38.3008356545961,Tool,63.54515050167224,1.0,0.6182405165456012,0.0,58.54721549636803,2
Python,24.08026755852843,80.0,32.77310924369748,24.13793103448276,44.02173913043478,43.39622641509434,42.35807860262008,18.277811044091653,Strong Growth,760,35.28319405756732,Language,24.08026755852843,0.36559139784946243,0.5657788539144472,0.8193077466446902,56.176253930752615,3
Tableau,21.73913043478261,40.0,33.61344537815126,27.58620689655172,41.03260869565217,43.39622641509434,37.117903930131,15.37877349534839,Strong Growth,685,31.801299907149488,Tool,21.73913043478261,0.32795698924731187,0.5052461662631154,0.7725688721450434,51.45273072213723,4
Power BI,24.08026755852843,40.0,36.97478991596639,13.79310344827586,36.41304347826087,47.16981132075472,34.93449781659388,10.854230258065453,Strong Growth,578,26.83379758588672,Tool,24.08026755852843,0.36559139784946243,0.4188861985472154,0.6996232634801035,48.17893977479807,5
R,9.364548494983277,40.0,14.285714285714285,17.24137931034483,26.6304347826087,18.867924528301888,25.327510917030565,15.962962422047289,Strong Growth,395,18.33797585886722,Language,9.364548494983277,0.1290322580645161,0.27118644067796605,0.7819872851424535,36.75650209719323,6
Data Visualization,15.719063545150505,20.0,12.605042016806722,13.79310344827586,20.38043478260869,28.30188679245283,20.52401746724891,4.804953922098406,Moderate Growth,260,12.070566388115136,Capability,15.719063545150505,0.2311827956989248,0.162227602905569,0.6020955968919237,32.17700782188177,7
Data Analysis,14.381270903010032,60.0,10.92436974789916,10.344827586206897,13.31521739130435,32.075471698113205,15.72052401746725,1.3392531144572182,Stable,212,9.842154131847725,Capability,14.381270903010032,0.2096774193548387,0.12348668280871669,0.5462208617847893,28.478323111998726,8
Data Modeling,7.6923076923076925,,8.403361344537815,10.344827586206897,14.402173913043478,22.641509433962263,16.157205240174672,8.464897547866979,Moderate Growth,166,7.706592386258125,Capability,7.6923076923076925,0.10215053763440861,0.08635996771589992,0.661101954320697,26.50987916647425,9
Statistics,6.688963210702341,,11.76470588235294,27.58620689655172,20.10869565217392,16.9811320754717,13.537117903930133,6.848154693227792,Moderate Growth,180,8.356545961002785,Capability,6.688963210702341,0.08602150537634409,0.0976594027441485,0.635036496350365,25.421737187889164,10
Looker,5.016722408026756,,8.403361344537815,6.896551724137931,6.7934782608695645,15.09433962264151,15.283842794759824,10.267120386733067,Strong Growth,145,6.731662024141133,Tool,5.016722408026756,0.05913978494623657,0.06941081517352703,0.6901577584177065,25.15264860558647,11
ETL,4.013377926421405,,3.361344537815126,3.4482758620689653,10.869565217391305,11.320754716981131,13.100436681222709,9.087058754801305,Moderate Growth,110,5.10677808727948,Capability,4.013377926421405,0.043010752688172046,0.04116222760290556,0.6711325641629385,23.089273860502203,12
Snowflake,3.678929765886288,,1.680672268907563,6.896551724137931,6.7934782608695645,13.20754716981132,12.22707423580786,8.548144469921573,Moderate Growth,127,5.896007428040854,Platform,3.678929765886288,0.037634408602150546,0.05488297013720742,0.6624440781728279,23.02518779338708,13
AWS,1.3377926421404682,,4.201680672268908,,6.7934782608695645,9.433962264150944,8.296943231441048,6.95915058930058,Moderate Growth,111,5.153203342618385,Platform,1.3377926421404682,0.0,0.041969330104923326,0.6368259948198728,20.363859747743884,14
Reporting,6.020066889632108,60.0,4.201680672268908,10.344827586206897,5.706521739130435,22.641509433962263,6.550218340611353,0.5301514509792451,Stable,102,4.735376044568245,Capability,6.020066889632108,0.0752688172043011,0.034705407586763506,0.5331763597833765,20.047205709276245,15
Machine Learning,3.0100334448160537,40.0,5.88235294117647,6.896551724137931,5.978260869565218,11.320754716981131,8.296943231441048,5.286909786624994,Moderate Growth,74,3.4354688950789227,Capability,3.0100334448160537,0.02688172043010753,0.012106537530266338,0.6098657876147869,19.7344385715559,16
Data Mining,2.0066889632107023,,6.722689075630252,3.4482758620689653,8.152173913043478,1.8867924528301887,6.550218340611353,4.543529377400651,Moderate Growth,67,3.1104921077065923,Capability,2.0066889632107023,0.010752688172043012,0.006456820016142047,0.5978808570755828,18.560237839633466,17
Data Quality,3.678929765886288,40.0,3.361344537815126,,1.9021739130434785,16.9811320754717,6.11353711790393,2.4346073520176423,Stable,62,2.8783658310120708,Capability,3.678929765886288,0.037634408602150546,0.0024213075060532706,0.5638803861549329,18.49442715391561,18
Data Warehousing,1.3377926421404682,,4.201680672268908,3.4482758620689653,5.434782608695652,1.8867924528301887,6.986899563318777,5.6491069211783085,Moderate Growth,59,2.7390900649953576,Capability,1.3377926421404682,0.0,0.0,0.615705203673181,18.47115611019543,19
