standard_experience_level,canonical_skill,category,job_count,total_jobs,demand_percentage
Entry,AWS,Cloud,4,299,1.3377926421404682
Entry,Azure,Cloud,4,299,1.3377926421404682
Entry,Data Analysis,Data & Analytics,43,299,14.381270903010032
Entry,Data Mining,Data & Analytics,6,299,2.0066889632107023
Entry,Data Modeling,Data & Analytics,23,299,7.6923076923076925
Entry,Data Quality,Data & Analytics,11,299,3.678929765886288
Entry,Data Visualization,Data & Analytics,47,299,15.719063545150503
Entry,Data Warehousing,Data Engineering,4,299,1.3377926421404682
Entry,ETL,Data Engineering,12,299,4.013377926421405
Entry,Excel,BI & Reporting,190,299,63.54515050167224
Entry,Looker,BI & Reporting,15,299,5.016722408026756
Entry,Machine Learning,AI & Machine Learning,9,299,3.0100334448160537
Entry,Oracle,Databases,6,299,2.0066889632107023
Entry,Power BI,BI & Reporting,72,299,24.08026755852843
Entry,PowerPoint,Business & Professional,33,299,11.036789297658862
Entry,Python,Programming & Data,72,299,24.08026755852843
Entry,R,Programming & Data,28,299,9.364548494983277
Entry,Reporting,BI & Reporting,18,299,6.0200668896321075
Entry,SAP,Enterprise Systems,7,299,2.341137123745819
Entry,SAS,Data & Analytics,8,299,2.6755852842809364
Entry,SPSS,Data & Analytics,4,299,1.3377926421404682
Entry,SQL,Data & Analytics,156,299,52.17391304347826
Entry,SQL Server,Databases,7,299,2.341137123745819
Entry,Snowflake,Data Platforms,11,299,3.678929765886288
Entry,Statistics,Data & Analytics,20,299,6.688963210702341
Entry,Tableau,BI & Reporting,65,299,21.73913043478261
Entry,VBA,Programming & Data,9,299,3.0100334448160537
Internship,Azure,Cloud,1,5,20.0
Internship,Data Analysis,Data & Analytics,3,5,60.0
Internship,Data Quality,Data & Analytics,2,5,40.0
Internship,Data Visualization,Data & Analytics,1,5,20.0
Internship,Excel,BI & Reporting,4,5,80.0
Internship,Machine Learning,AI & Machine Learning,2,5,40.0
Internship,Power BI,BI & Reporting,2,5,40.0
Internship,PowerPoint,Business & Professional,2,5,40.0
Internship,Python,Programming & Data,4,5,80.0
Internship,R,Programming & Data,2,5,40.0
Internship,Reporting,BI & Reporting,3,5,60.0
Internship,SQL,Data & Analytics,3,5,60.0
Internship,Tableau,BI & Reporting,2,5,40.0
Junior,AWS,Cloud,5,119,4.201680672268908
Junior,Azure,Cloud,3,119,2.5210084033613445
Junior,Data Analysis,Data & Analytics,13,119,10.92436974789916
Junior,Data Mining,Data & Analytics,8,119,6.722689075630252
Junior,Data Modeling,Data & Analytics,10,119,8.403361344537815
Junior,Data Quality,Data & Analytics,4,119,3.361344537815126
Junior,Data Visualization,Data & Analytics,15,119,12.605042016806722
Junior,Data Warehousing,Data Engineering,5,119,4.201680672268908
Junior,ETL,Data Engineering,4,119,3.361344537815126
Junior,Excel,BI & Reporting,64,119,53.78151260504202
Junior,Looker,BI & Reporting,10,119,8.403361344537815
Junior,Machine Learning,AI & Machine Learning,7,119,5.88235294117647
Junior,Oracle,Databases,3,119,2.5210084033613445
Junior,Power BI,BI & Reporting,44,119,36.97478991596639
Junior,PowerPoint,Business & Professional,10,119,8.403361344537815
Junior,Python,Programming & Data,39,119,32.773109243697476
Junior,R,Programming & Data,17,119,14.285714285714285
Junior,Reporting,BI & Reporting,5,119,4.201680672268908
Junior,SAP,Enterprise Systems,4,119,3.361344537815126
Junior,SAS,Data & Analytics,7,119,5.88235294117647
Junior,SPSS,Data & Analytics,4,119,3.361344537815126
Junior,SQL,Data & Analytics,76,119,63.86554621848739
Junior,SQL Server,Databases,6,119,5.042016806722689
Junior,Snowflake,Data Platforms,2,119,1.680672268907563
Junior,Statistics,Data & Analytics,14,119,11.76470588235294
Junior,Tableau,BI & Reporting,40,119,33.61344537815126
Junior,VBA,Programming & Data,6,119,5.042016806722689
Lead,Azure,Cloud,1,29,3.4482758620689653
Lead,Data Analysis,Data & Analytics,3,29,10.344827586206897
Lead,Data Mining,Data & Analytics,1,29,3.4482758620689653
Lead,Data Modeling,Data & Analytics,3,29,10.344827586206897
Lead,Data Visualization,Data & Analytics,4,29,13.793103448275861
Lead,Data Warehousing,Data Engineering,1,29,3.4482758620689653
Lead,ETL,Data Engineering,1,29,3.4482758620689653
Lead,Excel,BI & Reporting,8,29,27.586206896551722
Lead,Looker,BI & Reporting,2,29,6.896551724137931
Lead,Machine Learning,AI & Machine Learning,2,29,6.896551724137931
Lead,Power BI,BI & Reporting,4,29,13.793103448275861
Lead,PowerPoint,Business & Professional,1,29,3.4482758620689653
Lead,Python,Programming & Data,7,29,24.137931034482758
Lead,R,Programming & Data,5,29,17.24137931034483
Lead,Reporting,BI & Reporting,3,29,10.344827586206897
Lead,SAS,Data & Analytics,3,29,10.344827586206897
