canonical_skill,Entry,Internship,Junior,Lead,Mid,Mid-Senior,Senior,skill,level,transition_growth,personal_gap,transition_priority,market_score,growth_score,gap_score,transition_score,market_category,rank
Power BI,24.08026755852843,40.0,36.97478991596639,13.79310344827586,36.41304347826087,47.16981132075472,34.93449781659388,Power BI,0.0,10.854230258065453,3.0,32.562690774196355,0.3815028901734104,0.6996232634801035,1.0,66.24881351133952,Core,1
Python,24.08026755852843,80.0,32.77310924369748,24.13793103448276,44.02173913043478,43.39622641509434,42.35807860262008,Python,1.0,18.277811044091653,2.0,36.555622088183306,0.47976878612716756,0.8193077466446902,0.6666666666666666,63.7699838444274,Core,2
R,9.364548494983277,40.0,14.285714285714285,17.24137931034483,26.6304347826087,18.867924528301888,25.327510917030565,R,0.0,15.962962422047289,3.0,47.888887266141865,0.2543352601156069,0.7819872851424535,1.0,63.63302895889789,Core,3
Tableau,21.73913043478261,40.0,33.61344537815126,27.58620689655172,41.03260869565217,43.39622641509434,37.117903930131,Tableau,1.0,15.37877349534839,2.0,30.75754699069678,0.4104046242774566,0.7725688721450434,0.6666666666666666,59.59325113544956,Core,4
Looker,5.016722408026756,,8.403361344537815,6.896551724137931,6.7934782608695645,15.09433962264151,15.283842794759824,,0.0,10.267120386733067,3.0,30.801361160199207,0.1213872832369942,0.6901577584177065,1.0,55.560224082010954,Growth,5
Data Modeling,7.6923076923076925,,8.403361344537815,10.344827586206897,14.402173913043478,22.641509433962263,16.157205240174672,Data Modeling,0.0,8.464897547866979,3.0,25.394692643600937,0.1329479768786127,0.661101954320697,1.0,55.150977704765424,Growth,6
ETL,4.013377926421405,,3.361344537815126,3.4482758620689653,10.869565217391305,11.320754716981131,13.100436681222709,ETL,0.0,9.087058754801305,3.0,27.261176264403915,0.092485549132948,0.6711325641629385,1.0,53.83339889020608,Growth,7
Snowflake,3.678929765886288,,1.680672268907563,6.896551724137931,6.7934782608695645,13.20754716981132,12.22707423580786,Snowflake,0.0,8.548144469921573,3.0,25.64443340976472,0.08092485549132948,0.6624440781728279,1.0,53.11031656483802,Growth,8
AWS,1.3377926421404682,,4.201680672268908,,6.7934782608695645,9.433962264150944,8.296943231441048,AWS,0.0,6.95915058930058,3.0,20.87745176790174,0.028901734104046246,0.6368259948198728,1.0,50.26084920875803,Specialized,9
Machine Learning,3.0100334448160537,40.0,5.88235294117647,6.896551724137931,5.978260869565218,11.320754716981131,8.296943231441048,Machine Learning,0.0,5.286909786624994,3.0,15.860729359874982,0.028901734104046246,0.6098657876147869,1.0,49.452042992605456,Specialized,10
Data Warehousing,1.3377926421404682,,4.201680672268908,3.4482758620689653,5.434782608695652,1.8867924528301887,6.986899563318777,,0.0,5.6491069211783085,3.0,16.947320763534925,0.01156069364161849,0.615705203673181,1.0,48.93358385586017,Specialized,11
Data Mining,2.0066889632107023,,6.722689075630252,3.4482758620689653,8.152173913043478,1.8867924528301887,6.550218340611353,,0.0,4.543529377400651,3.0,13.630588132201952,0.005780346820809245,0.5978808570755828,1.0,48.167639585099856,Specialized,12
Data Quality,3.678929765886288,40.0,3.361344537815126,,1.9021739130434785,16.9811320754717,6.11353711790393,,0.0,2.4346073520176423,3.0,7.303822056052927,0.0,0.5638803861549329,1.0,46.91641158464799,Specialized,13
Reporting,6.020066889632108,60.0,4.201680672268908,10.344827586206897,5.706521739130435,22.641509433962263,6.550218340611353,,0.0,0.5301514509792451,3.0,1.5904543529377353,0.005780346820809245,0.5331763597833765,1.0,46.22650466633367,Specialized,14
Data Visualization,15.719063545150505,20.0,12.605042016806722,13.79310344827586,20.38043478260869,28.30188679245283,20.52401746724891,Data Visualization,1.0,4.804953922098406,2.0,9.609907844196812,0.19075144508670522,0.6020955968919237,0.6666666666666666,45.69292571022592,Core,15
Statistics,6.688963210702341,,11.76470588235294,27.58620689655172,20.10869565217392,16.9811320754717,13.537117903930133,Statistics,1.0,6.848154693227792,2.0,13.696309386455583,0.09826589595375726,0.635036496350365,0.6666666666666666,42.98173072866124,Growth,16
Data Analysis,14.381270903010032,60.0,10.92436974789916,10.344827586206897,13.31521739130435,32.075471698113205,15.72052401746725,Data Analysis,1.0,1.3392531144572182,2.0,2.6785062289144363,0.1271676300578035,0.5462208617847893,0.6666666666666666,41.473331055855816,Growth,17
