id,created_at,name
1,2026-03-19 11:24:51.895497+00,SQL
2,2026-03-19 11:24:51.909554+00,Agile
3,2026-03-19 11:24:51.948616+00,ERP Systems
4,2026-03-19 11:24:51.987942+00,Issue Tracking
5,2026-03-19 11:24:52.016191+00,Snowflake
6,2026-03-19 11:24:52.050583+00,Analytical Skills
7,2026-03-19 11:24:52.107682+00,Data Reporting
8,2026-03-19 11:24:53.276868+00,Tableau
10,2026-03-19 11:24:53.320247+00,Python
11,2026-03-19 11:24:53.324561+00,Marketing Attribution
12,2026-03-19 11:24:53.32117+00,Excel
13,2026-03-19 11:24:53.330187+00,Reporting
14,2026-03-19 11:24:53.329779+00,Power BI
15,2026-03-19 11:24:53.33314+00,Statistical Analysis
16,2026-03-19 11:24:53.407968+00,R
17,2026-03-19 11:24:53.412711+00,HR Analytics
18,2026-03-19 11:24:53.405222+00,Data Analysis
19,2026-03-19 11:24:53.416373+00,Recruitment Metrics
20,2026-03-19 11:24:53.418757+00,Dashboarding
21,2026-03-19 11:24:53.421656+00,Web Analytics
22,2026-03-19 11:24:53.421254+00,Data Visualization
23,2026-03-19 11:24:53.424598+00,A/B Testing
24,2026-03-19 11:24:53.4277+00,User Behavior Tracking
25,2026-03-19 11:24:53.429212+00,Campaign Analysis
26,2026-03-19 11:24:53.432127+00,Hiring Funnels
27,2026-03-19 11:24:53.436604+00,SaaS Analytics
28,2026-03-19 11:24:53.447888+00,Marketplace Analytics
29,2026-03-19 11:24:53.469664+00,Machine Learning
31,2026-03-19 11:24:55.845957+00,Analytical Modeling
32,2026-03-19 11:24:55.849711+00,Advanced SQL
34,2026-03-19 11:24:55.889241+00,ThoughtSpot
36,2026-03-19 11:24:55.893562+00,Data Quality
37,2026-03-19 11:24:55.912901+00,Looker
38,2026-03-19 11:24:55.946989+00,Dashboards
39,2026-03-19 11:24:55.961665+00,Data Product Development
40,2026-03-19 11:24:55.970107+00,Documentation
41,2026-03-19 11:24:55.977306+00,Data Preparation
44,2026-03-19 11:24:55.996206+00,Statistics
45,2026-03-19 11:24:56.000598+00,Analytical Data Modeling
46,2026-03-19 11:24:56.009419+00,Relational Databases
47,2026-03-19 11:24:56.010638+00,Data Warehousing
48,2026-03-19 11:24:56.047384+00,Trend Analysis
49,2026-03-19 11:24:56.0521+00,Pattern Recognition
50,2026-03-19 11:24:56.058157+00,Forecasting
51,2026-03-19 11:24:56.071564+00,Regression Analysis
54,2026-03-19 11:24:56.088578+00,Anomaly Detection
55,2026-03-19 11:24:56.154704+00,CRM Systems
57,2026-03-19 11:24:56.155257+00,CDP Systems
