vacancy_id,skill_id
1,1
1,2
1,3
1,4
1,5
1,6
1,7
2,1
2,8
2,10
2,11
2,12
2,13
2,14
2,15
2,16
2,17
2,18
2,19
2,20
2,21
2,22
2,23
2,24
2,25
2,26
2,27
2,28
2,29
3,1
3,3
3,5
3,8
3,10
3,13
3,14
3,16
3,22
3,31
3,32
3,34
3,36
3,37
3,38
3,39
3,40
3,41
3,44
3,45
3,46
3,47
3,48
3,49
3,50
3,51
3,54
3,55
3,57
3,58
3,59
3,60
3,61
3,62
3,64
3,65
3,66
4,10
4,36
4,59
4,65
4,68
4,69
4,70
4,71
4,74
4,75
4,76
4,77
4,78
4,79
4,80
4,82
4,83
4,84
4,85
5,1
5,8
5,14
5,18
5,22
5,47
5,91
6,1
6,8
6,14
6,18
6,22
6,47
6,91
7,1
7,10
7,22
7,44
7,91
7,100
7,104
7,106
8,12
8,109
8,110
8,111
8,112
9,1
9,8
9,14
9,18
9,22
9,47
9,91
9,118
9,120
10,1
10,8
10,14
10,22
10,44
10,122
10,123
10,124
10,125
10,129
10,132
11,12
11,14
11,18
11,22
11,134
11,137
11,139
11,140
11,141
12,1
12,8
12,14
12,18
12,22
12,47
12,91
12,118
12,120
15,1
15,13
15,18
15,20
15,167
15,168
15,169
15,170
15,171
18,1
18,10
18,20
18,22
18,44
18,104
18,106
18,192
18,194
19,1
19,8
19,14
19,18
19,22
19,47
19,91
20,1
20,10
20,14
20,141
20,208
20,209
20,210
20,211
20,212
20,213
35,1
35,8
35,14
35,36
35,59
35,328
35,330
36,1
36,10
36,22
36,44
36,100
36,104
37,1
37,10
37,22
37,44
37,91
37,104
37,106
38,1
38,8
38,10
38,14
38,16
38,18
38,20
38,22
38,59
38,210
38,345
38,346
38,354
38,356
38,357
38,358
38,359
38,360
38,361
38,362
38,363
38,364
38,365
38,366
38,367
38,369
38,370
38,371
39,8
39,13
39,14
39,22
39,44
39,91
39,118
40,1
40,6
40,8
40,10
40,16
40,18
40,20
40,37
40,58
40,383
40,385
40,386
40,389
40,392
41,1
41,10
41,22
41,48
41,123
41,156
41,208
41,211
41,212
41,213
41,394
41,396
41,398
41,400
41,401
41,406
41,409
41,410
41,411
41,412
42,7
42,12
42,20
42,22
42,59
42,111
42,419
42,420
42,421
42,422
42,423
42,424
42,425
42,426
44,1
44,8
44,12
44,13
44,14
44,18
44,22
44,23
44,37
44,91
45,18
45,22
45,36
45,37
45,123
45,139
45,445
45,446
45,449
45,451
45,452
45,454
45,456
45,457
45,458
46,12
46,13
46,14
46,18
46,22
46,137
46,140
46,141
46,156
46,161
46,210
46,323
46,469
46,470
47,1
47,5
47,18
47,36
47,40
47,59
47,65
47,91
47,392
47,396
47,456
47,478
47,482
47,486
48,12
48,18
48,79
48,125
48,211
48,456
48,487
48,489
48,490
48,493
48,495
48,496
48,499
48,500
49,1
49,10
49,36
49,68
49,91
49,141
49,210
49,505
49,509
49,510
49,511
49,512
49,513
50,1
50,5
50,8
50,10
50,12
50,14
50,37
50,91
50,141
50,367
50,522
50,523
50,524
51,1
51,10
51,44
51,104
52,1
52,10
52,13
52,38
52,44
52,210
52,537
53,1
53,5
53,8
53,10
53,15
53,16
53,20
53,37
53,50
53,80
53,91
53,208
53,389
53,392
53,469
53,486
53,541
53,547
122,16
122,561
122,567
122,570
123,1
123,8
123,10
123,37
123,652
124,1
124,10
124,12
124,66
124,85
124,100
124,1025
124,1129
124,1133
125,1
125,10
125,16
125,22
125,29
125,44
125,47
125,65
125,141
125,155
125,981
125,1041
125,1043
125,1045
125,1046
125,1047
125,1053
125,1139
125,1140
125,1141
125,1143
125,1145
125,1147
125,1149
125,1150
125,1153
125,1159
125,1163
125,1164
125,1165
126,1
126,10
126,12
126,65
126,982
126,994
126,1001
126,1002
127,1
127,10
127,12
127,14
127,109
127,323
127,411
127,967
128,1
128,12
128,982
129,1
129,10
129,16
129,29
129,47
129,68
129,567
129,1085
130,1091
130,1194
131,1
131,12
132,1
134,1
134,47
134,68
134,91
134,345
134,362
134,537
134,1043
134,1106
134,1112
134,1113
134,1117
134,1200
134,1206
134,1207
134,1209
134,1212
135,1
135,10
135,12
135,13
135,14
135,22
135,47
135,50
135,110
135,120
135,141
135,345
135,422
135,1113
135,1225
135,1228
135,1230
136,1
136,14
136,46
136,47
136,141
136,927
136,1025
136,1232
136,1233
136,1234
136,1235
136,1241
136,1244
136,1245
137,1
137,8
137,10
137,13
137,18
137,22
137,29
137,44
137,54
137,83
137,141
137,401
137,456
137,1027
137,1232
137,1248
137,1250
137,1251
137,1253
137,1256
137,1263
138,1
138,8
138,10
138,14
138,212
138,213
138,367
138,971
138,976
138,978
138,981
138,982
138,1278
139,1
139,10
140,1
140,8
140,10
140,16
140,37
140,44
140,58
140,385
140,386
140,1282
140,1286
140,1287
140,1288
140,1290
141,1
141,12
141,14
141,18
141,59
141,91
141,220
141,396
141,901
141,903
141,921
141,927
141,938
141,1305
141,1308
142,211
142,567
142,940
142,941
142,943
142,945
142,946
142,947
142,948
142,949
142,950
142,951
142,1311
142,1317
142,1318
142,1319
142,1321
142,1323
142,1325
142,1329
142,1330
143,1
143,8
143,10
143,16
143,23
143,37
143,44
143,58
143,385
143,386
143,1290
143,1335
143,1343
143,1344
144,1
144,8
144,13
144,14
144,15
144,22
144,36
144,37
144,46
144,65
144,139
144,141
144,362
144,365
144,567
144,1045
144,1107
144,1351
144,1353
144,1354
145,1
145,8
145,10
145,16
145,652
145,979
145,1372
146,1
146,10
147,1
147,10
147,37
147,346
147,1375
147,1380
148,1
148,8
148,10
148,16
148,652
148,979
148,1372
149,1
149,8
149,10
149,14
149,16
149,979
149,1372
150,1
150,8
150,10
150,14
150,16
150,1278
150,1372
151,1
151,10
151,16
151,22
151,29
151,118
151,992
152,1409
153,12
153,18
153,22
153,111
153,1411
153,1412
153,1413
154,1
154,8
154,10
154,111
155,65
155,70
155,83
155,141
155,1113
155,1413
155,1421
155,1422
155,1423
155,1425
155,1426
155,1427
155,1431
155,1432
155,1435
155,1436
156,1
156,18
156,1194
157,1
157,13
157,18
157,36
157,47
158,1
158,12
158,110
158,1445
159,12
160,1
160,8
160,10
160,14
160,16
160,22
160,44
160,50
160,51
160,58
160,123
160,362
160,364
160,396
160,411
160,456
160,561
160,567
160,1043
160,1423
160,1455
160,1457
160,1461
160,1465
160,1466
160,1471
160,1472
160,1473
160,1474
160,1479
160,1480
161,1481
161,1482
162,1
162,8
162,15
162,18
162,323
162,994
162,1484
163,1
163,12
163,18
163,1490
164,1
164,10
164,14
164,29
164,346
164,1494
164,1495
164,1500
164,1502
165,1
166,1
166,10
166,12
166,16
166,109
166,111
166,511
166,567
168,18
168,20
168,22
168,91
168,1502
168,1517
169,1
169,12
169,22
169,110
169,139
169,208
169,211
169,422
169,567
169,1524
169,1527
169,1528
169,1529
169,1531
170,1
170,8
170,1533
171,1
171,8
171,12
171,109
171,111
171,1536
172,1
172,22
172,123
172,411
172,1541
172,1544
173,1
174,1
174,8
174,10
174,12
174,994
174,1413
175,1
175,14
175,37
176,1
176,2
176,18
176,22
176,36
176,59
176,91
176,141
176,422
176,456
176,505
176,1027
176,1113
176,1253
176,1558
176,1559
176,1560
176,1561
176,1563
176,1570
176,1572
177,1
178,1
178,5
178,141
178,233
179,44
179,230
179,1585
179,1586
179,1587
180,1
180,5
180,47
180,65
180,78
180,82
180,120
180,141
180,362
180,365
180,976
180,1029
180,1036
180,1353
180,1592
180,1593
180,1597
180,1601
180,1602
180,1603
180,1605
180,1608
180,1609
181,1
181,10
181,16
181,123
181,561
181,567
181,1056
181,1613
181,1615
182,1
182,12
182,1620
183,13
183,111
183,422
183,911
183,981
183,1225
183,1627
183,1628
183,1630
184,1
184,8
184,12
184,14
184,982
185,1
185,5
185,8
185,10
185,16
185,22
185,23
185,91
185,141
185,346
185,401
185,486
185,1646
185,1650
186,1
186,12
186,567
186,1651
186,1653
187,1
187,5
187,12
187,445
187,1445
187,1656
188,1
188,567
188,903
188,1480
188,1494
188,1665
188,1666
188,1668
189,1
189,8
189,10
189,16
189,561
189,567
191,10
191,213
191,1676
192,1
192,567
192,1423
192,1480
192,1679
193,1
193,10
193,13
193,16
193,20
193,22
193,46
193,47
193,91
193,110
193,141
193,567
193,1112
193,1687
193,1688
193,1691
193,1692
193,1694
193,1701
193,1703
194,1
194,2
194,8
194,12
194,18
194,44
194,139
194,356
194,396
194,401
194,1165
194,1704
194,1705
194,1707
194,1708
194,1709
194,1713
194,1715
194,1717
194,1718
194,1721
194,1724
194,1726
195,1
195,10
195,91
195,422
195,1230
195,1731
196,1
196,8
196,14
196,15
196,47
196,120
196,123
196,398
196,422
196,567
196,1042
196,1679
196,1733
196,1734
196,1740
196,1741
197,1
197,5
197,8
197,10
197,14
197,16
197,123
197,364
197,411
197,561
197,567
197,979
197,1466
197,1472
197,1752
197,1758
197,1764
198,1
198,8
198,12
198,14
198,1423
199,1
199,5
199,8
199,10
199,13
199,14
199,16
199,18
199,37
199,192
199,456
199,486
199,541
199,567
199,1001
199,1782
200,12
200,37
200,1787
200,1788
200,1789
201,1
201,46
201,47
201,80
201,118
201,120
201,1033
201,1232
201,1472
201,1797
201,1800
201,1801
202,1
202,8
202,10
202,14
202,22
202,41
202,78
202,91
202,118
202,120
202,141
202,212
202,213
202,345
202,346
202,364
202,505
202,537
202,1113
202,1474
202,1666
202,1704
202,1764
202,1810
202,1816
202,1818
202,1822
202,1824
202,1830
203,1
203,8
203,14
203,123
203,1423
204,1
204,1480
204,1665
204,1666
204,1668
204,1679
204,1838
204,1840
204,1843
204,1847
204,1848
205,13
205,22
205,123
205,211
205,445
205,1850
205,1852
206,123
206,1042
206,1740
206,1857
207,1
207,8
207,14
207,37
207,1861
208,13
208,18
208,918
209,1
209,8
209,10
209,14
209,15
209,20
209,68
209,91
209,345
209,899
209,981
209,1045
209,1153
209,1159
209,1232
209,1423
209,1709
209,1764
209,1830
209,1869
209,1875
209,1876
209,1879
209,1880
209,1881
209,1890
209,1891
209,1895
210,1
210,12
210,109
210,111
210,1897
210,1898
210,1900
210,1901
211,1
211,5
211,12
211,37
211,982
211,1905
211,1910
212,1
212,567
212,1113
212,1423
212,1480
212,1679
213,1
213,8
213,10
213,14
213,16
213,22
213,44
213,51
213,58
213,123
213,362
213,364
213,411
213,561
213,567
213,1043
213,1423
213,1455
213,1457
213,1461
213,1466
213,1471
213,1474
213,1479
213,1480
213,1917
213,1930
213,1932
214,1
214,8
214,10
214,12
214,14
214,16
214,111
214,567
215,1
215,8
215,14
215,37
215,1861
216,1
216,12
216,14
216,15
216,91
216,323
216,560
216,561
216,567
216,1027
216,1413
216,1472
216,1500
216,1963
216,1971
217,1
218,46
218,156
218,422
218,1020
218,1974
219,12
220,1
220,8
220,10
220,14
220,16
220,65
220,66
220,123
220,141
220,1027
220,1989
221,1
221,2
221,364
221,1107
221,1248
221,1500
221,1991
221,1995
221,1997
222,2
222,12
222,14
222,2002
222,2003
223,1
223,12
223,2005
224,16
224,123
224,231
224,561
224,567
224,1042
224,1056
224,1741
224,2010
224,2013
224,2015
224,2017
224,2020
224,2021
224,2022
224,2023
225,1
225,10
225,16
225,68
225,83
225,511
225,1413
225,1656
225,2024
225,2026
225,2027
225,2028
225,2029
225,2032
225,2033
225,2039
225,2040
226,8
226,10
226,14
226,15
226,16
226,22
226,23
226,91
226,123
226,396
226,456
226,561
226,982
226,2042
227,1
227,2
227,37
227,58
227,345
227,346
227,486
227,524
227,1479
227,1531
227,1679
227,2057
227,2058
227,2059
227,2060
227,2061
227,2063
227,2064
227,2069
228,2074
228,2075
229,12
229,44
229,561
229,567
230,1
230,12
230,14
230,2080
230,2081
230,2083
231,8
231,13
231,18
231,20
231,58
231,419
231,422
231,445
231,1290
231,2086
231,2090
231,2093
231,2095
231,2097
231,2099
233,13
233,18
233,110
233,1930
233,2101
233,2102
233,2105
233,2106
233,2107
233,2108
233,2110
234,15
234,29
234,2113
234,2115
234,2116
234,2117
234,2118
234,2119
235,1
235,2
235,5
235,10
235,47
235,68
235,141
235,510
235,903
235,1025
235,1038
235,1112
235,1113
235,1666
235,1782
235,1824
235,1875
235,2120
235,2126
235,2127
235,2132
235,2134
235,2136
237,1
237,5
237,8
237,10
237,14
237,16
237,123
237,364
237,411
237,561
237,567
237,1278
237,1466
237,1472
237,1752
237,1758
237,1764
239,12
239,109
239,111
239,112
239,445
240,1
240,8
240,10
240,16
240,37
240,1701
240,2167
241,1
241,8
241,10
241,14
241,15
241,16
241,47
241,78
241,91
241,212
241,213
241,456
241,510
241,537
241,911
241,981
241,1043
241,1047
241,1085
241,1248
241,1423
241,2180
241,2181
241,2185
241,2193
242,1
242,10
242,65
242,68
242,83
242,1234
242,2197
242,2199
242,2200
242,2201
242,2202
242,2203
242,2205
242,2210
243,1423
244,1
244,652
245,1
245,5
245,8
245,10
245,14
245,15
245,16
245,22
245,65
245,66
245,123
245,141
245,1027
245,1457
245,1461
245,1471
245,1917
245,1930
245,1932
245,1989
